"","OFT","PedCount","IfSideWalk","IfBikeLane","PopDen","JobDen","IntNum","TraStpNum","AADT","PerCommercial","PerOffice","PerIndustrial","PerOpenspace","Entropy","IfDowntown","PerChild","PerOld","PerMale","PerWhite","PerBlack","PerHisp","PerPoverty","AvgHHSize","AvgVeh","IfMain","IfSecondary","StrtLitNum","IfEst"
"36","037123132313",0,0,0,0,0,6,0,12600,0.231024571971694,0,0.76767068176844,0,0.270736134709427,0,0.213310580204778,0.0802047781569966,0.469283276450512,0.737201365187713,0.121160409556314,0.0426621160409556,0.000436860068259386,2.26,1.59459459459459,0,1,0,1
"37","312002432109",0,0,0,0,10.9643662767392,5,0,2697,0,0,0.461435844256747,0,0.345332778869597,0,0.358008934269304,0.013401403956605,0.409061901723038,0.335673261008296,0.550095724313976,0.00574345883854499,0.000536056158264199,3.52,1.30786516853933,0,0,0,1
"38","M55S0087R55E",0,0,0,0,0,37,0,3100,0,0,0,0,0.00130395805005797,0,0.0775577557755776,0.298129812981298,0.516501650165016,0.482398239823982,0.422442244224423,0.028052805280528,0.000391639163916392,1.46,0.426978818283166,1,0,0,1
"39","037120061808",0,1,0,7.06206490696514,0.150256700148194,21,0,11900,0.0191751103500848,0,0,0,0.0480449057608595,0,0.258010118043845,0.145025295109612,0.51602023608769,0.94097807757167,0,0.0134907251264755,9.106239460371e-05,2.42,1.4734693877551,0,1,0,1
"40","017033083308",0,0,0,0.0922532449331781,3.69012979732712,37,0,4150,0.22705638684949,0.200219050362005,0.0526669060496868,0,0.288538992496587,0,0.207525655644242,0.168757126567845,0.548460661345496,0.172177879133409,0.75484606613455,0.0273660205245154,0.00068072976054732,1.94,0.745575221238938,0,0,0,1
"41","018033083308",0,0,0,0.0922532449331781,3.69012979732712,41,0,9805,0,0.2120480000508,0.28720007222006,0,0.344640385653706,0,0.207525655644242,0.168757126567845,0.548460661345496,0.172177879133409,0.75484606613455,0.0273660205245154,0.00068072976054732,1.94,0.745575221238938,0,0,0,1
"42","005700420032",0,0,0,0,2008.28728344825,32,3,2697,0.200325479748583,0.429632133277276,0,0.302195221982449,0.306751499379221,1,0.0350378787878788,0.111268939393939,0.746212121212121,0.359375,0.429924242424242,0.0430871212121212,0.000195075757575758,1.37,0.630522088353414,0,0,4,1
"43","122233083308",0,0,0,0.0922532449331781,3.69012979732712,41,1,9805,0.249983540364984,4.94549509114325e-05,0.120491462214702,0,0.223525616485959,0,0.271375464684015,0.0315985130111524,0.513011152416357,0.237918215613383,0.239776951672862,0.0130111524163569,0.0011635687732342,2.32,1.1057268722467,0,0,0,1
"44","023033083308",0,0,0,0,0.148338607283209,37,0,9805,0.135103723934421,0,0.384875932587369,0,0.330192233145925,0,0.271375464684015,0.0315985130111524,0.513011152416357,0.237918215613383,0.239776951672862,0.0130111524163569,0.0011635687732342,2.32,1.1057268722467,0,0,0,1
"45","021033083308",0,0,0,0,0.148338607283209,41,0,9805,0.107056329501754,0,0.356576315096091,0,0.313841177439865,0,0.271375464684015,0.0315985130111524,0.513011152416357,0.237918215613383,0.239776951672862,0.0130111524163569,0.0011635687732342,2.32,1.1057268722467,0,0,0,1
"46","0370X2283308",0,0,0,0,0.878685238643865,16,0,2697,0,0,0.619051579795914,0,0.332284910717157,0,0.347962382445141,0.0417972831765935,0.438871473354232,0.171368861024033,0.427377220480669,0,0.000658307210031348,3.64,1.73764258555133,0,0,0,1
"47","022033083308",0,0,0,0,0.148338607283209,38,0,9805,0.0194595795514559,0,0.487002427078432,0,0.258649009693699,0,0.271375464684015,0.0315985130111524,0.513011152416357,0.237918215613383,0.239776951672862,0.0130111524163569,0.0011635687732342,2.32,1.1057268722467,0,0,0,1
"48","007123042304",0,0,0,6.30918901351338,0,42,0,2697,0,0,0,0.232249772129837,0.271469605111718,0,0.0966666666666667,0.115555555555556,0.518888888888889,0.78,0.0988888888888889,0.00777777777777778,0.000196666666666667,2.01,1.61297539149888,0,0,0,1
"49","008123042304",0,0,0,4.81170791407243,14.7024408485546,52,0,5100,0.0701395092750849,0.160229861546757,0,0,0.227423127122984,0,0.0966666666666667,0.115555555555556,0.518888888888889,0.78,0.0988888888888889,0.00777777777777778,0.000196666666666667,2.01,1.61297539149888,0,1,0,1
"50","009123042304",0,0,0,12.5340038019973,1.33340465978695,48,0,2697,0.0192958669272516,0.230039972048001,0,0,0.210146424114565,0,0.0918984280532044,0.303506650544135,0.438935912938331,0.714631197097944,0.0471584038694075,0.120918984280532,0.000412333736396614,2.21,1.37254901960784,0,0,0,1
"51","037132041320",0,1,0,6.94520345151202,0,34,0,7000,0.324548195077086,0.0582236152592824,0,0,0.276424757775969,0,0.143638850889193,0.127222982216142,0.500683994528044,0.875512995896033,0,0.0478796169630643,0.000369357045143639,2.09,1.50143266475645,0,1,0,1
"52","037112292216",0,1,0,8.93846781727229,0,33,0,12200,0,0,0,0,0.00130375747781997,0,0.199058507061197,0.131809011432414,0.447209145931406,0.722259583053127,0.104236718224613,0.0672494956287828,0.000260255548083389,2.71,1.54207436399217,0,1,0,1
"53","1611C25E2204",0,1,0,8.86544623056155,0,43,0,2697,0.201240942641811,0,0,0,0.251564149471122,0,0.0910798122065728,0.415023474178404,0.563380281690141,0.842253521126761,0.031924882629108,0.0356807511737089,4.7887323943662e-05,2.01,1.86784140969163,0,0,0,1
"54","037126131229",0,1,0,11.3257955132667,0,33,0,12200,0,0,0,0,0.00130391205075436,0,0.199058507061197,0.131809011432414,0.447209145931406,0.722259583053127,0.104236718224613,0.0672494956287828,0.000260255548083389,2.71,1.54207436399217,0,1,0,1
"55","222729382938",0,1,0,0,0,26,0,2697,0.21255776020706,0,0,0,0.259158859527909,0,0.150717703349282,0.15311004784689,0.496012759170654,0.879585326953748,0,0.0103668261562998,6.77830940988836e-05,2.37,1.60079840319361,0,0,0,1
"56","037127041108",0,1,0,14.0122535726896,0,33,0,7000,0,0,0,0,0.00130379510379393,0,0.143638850889193,0.127222982216142,0.500683994528044,0.875512995896033,0,0.0478796169630643,0.000369357045143639,2.09,1.50143266475645,0,1,0,1
"57","010123042304",0,0,0,17.5496403335618,5.23869860703336,49,0,2697,0.000127107254218242,0.141476343044707,0.00687068369584315,0,0.112497463994375,0,0.0918984280532044,0.303506650544135,0.438935912938331,0.714631197097944,0.0471584038694075,0.120918984280532,0.000412333736396614,2.21,1.37254901960784,0,0,0,1
"58","026129382938",0,1,0,0.709964859751397,0,26,0,2697,0.011123191643662,0,0,0.485342911639967,0.248926321974058,0,0.106083086053412,0.292284866468843,0.468100890207715,0.716617210682493,0.0155786350148368,0.0971810089020772,0.000188427299703264,1.81,1.33646112600536,0,0,0,1
"59","293802612227",0,1,0,0.709964859751397,0,26,0,5200,0.249299353173005,0,0,0.186391703410336,0.327616763897377,0,0.222139117427076,0.0441286462228871,0.602094240837696,0.714285714285714,0.0732984293193717,0.175766641735228,3.7397157816006e-05,2.57,1.76391554702495,0,1,4,1
"60","261506290619",0,0,0,0.125548206754835,18.0789417726962,32,0,9805,0,0,0.685637819600419,0,0.311169379124637,0,0.35364238410596,0,0.480794701986755,0.221192052980132,0.0278145695364238,0.565562913907285,0.000956291390728477,3.01,1.57370517928287,0,0,0,1
"61","161102890289",0,1,0,11.0938730221342,0.720381365073647,36,0,5200,0,0,0,0,0.0013037361471091,0,0.0910798122065728,0.415023474178404,0.563380281690141,0.842253521126761,0.031924882629108,0.0356807511737089,4.7887323943662e-05,2.01,1.86784140969163,0,1,0,1
